$GPGGA,115530.000,  3036.2727,  N,  11418.5035,  E,  1,  11,  0.9,  27.0,  M,  -14.1,  M,  ,  0000*42
标识，时间（hhmmss.ws）,纬度，N/S，经度，E/W, 单点定位、11颗卫星， HDOP水平精度因子，海拔27.0米，单位Meter，
$GPGGA,115531.000,3036.2727,N,11418.5035,E,1,11,0.9,27.0,M,-14.1,M,,0000*43
$GPGGA,115532.000,3036.2727,N,11418.5035,E,1,11,0.9,27.0,M,-14.1,M,,0000*40
$GPGGA,115533.000,3036.2727,N,11418.5035,E,1,11,0.9,27.0,M,-14.1,M,,0000*41
$GPGGA,115534.000,3036.2727,N,11418.5035,E,1,11,0.9,27.0,M,-14.1,M,,0000*46
$GPGGA,115535.000,3036.2727,N,11418.5035,E,1,11,0.9,27.0,M,-14.1,M,,0000*47
$GPGGA,115536.000,3036.2727,N,11418.5035,E,1,11,0.9,27.0,M,-14.1,M,,0000*44
$GPGGA,115537.000,3036.2727,N,11418.5035,E,1,11,0.9,27.0,M,-14.1,M,,0000*45
$GPGGA,115538.000,3036.2727,N,11418.5035,E,1,11,0.9,27.0,M,-14.1,M,,0000*4A
$GPGGA,115539.000,3036.2727,N,11418.5035,E,1,11,0.9,27.0,M,-14.1,M,,0000*4B
$GPGGA,115540.000,3036.2727,N,11418.5035,E,1,11,0.9,27.0,M,-14.1,M,,0000*45
$GPGGA,115541.000,3036.2727,N,11418.5035,E,1,11,0.9,27.0,M,-14.1,M,,0000*44
$GPGGA,115542.000,3036.2727,N,11418.5035,E,1,11,0.9,27.0,M,-14.1,M,,0000*47
